model,month,path,period,rcp,variable
he,10,/Users/mperry/data/worldclim/past/hemidtn10.tif,mid,na,tn
he,11,/Users/mperry/data/worldclim/past/hemidtn11.tif,mid,na,tn
he,12,/Users/mperry/data/worldclim/past/hemidtn12.tif,mid,na,tn
he,2,/Users/mperry/data/worldclim/past/hemidtn2.tif,mid,na,tn
he,3,/Users/mperry/data/worldclim/past/hemidtn3.tif,mid,na,tn
he,4,/Users/mperry/data/worldclim/past/hemidtn4.tif,mid,na,tn
he,5,/Users/mperry/data/worldclim/past/hemidtn5.tif,mid,na,tn
he,6,/Users/mperry/data/worldclim/past/hemidtn6.tif,mid,na,tn
he,7,/Users/mperry/data/worldclim/past/hemidtn7.tif,mid,na,tn
he,8,/Users/mperry/data/worldclim/past/hemidtn8.tif,mid,na,tn
he,9,/Users/mperry/data/worldclim/past/hemidtn9.tif,mid,na,tn
he,1,/Users/mperry/data/worldclim/past/hemidtx1.tif,mid,na,tx
he,10,/Users/mperry/data/worldclim/past/hemidtx10.tif,mid,na,tx
he,11,/Users/mperry/data/worldclim/past/hemidtx11.tif,mid,na,tx
he,12,/Users/mperry/data/worldclim/past/hemidtx12.tif,mid,na,tx
he,2,/Users/mperry/data/worldclim/past/hemidtx2.tif,mid,na,tx
he,3,/Users/mperry/data/worldclim/past/hemidtx3.tif,mid,na,tx
he,4,/Users/mperry/data/worldclim/past/hemidtx4.tif,mid,na,tx
he,5,/Users/mperry/data/worldclim/past/hemidtx5.tif,mid,na,tx
he,6,/Users/mperry/data/worldclim/past/hemidtx6.tif,mid,na,tx
he,7,/Users/mperry/data/worldclim/past/hemidtx7.tif,mid,na,tx
he,8,/Users/mperry/data/worldclim/past/hemidtx8.tif,mid,na,tx
he,9,/Users/mperry/data/worldclim/past/hemidtx9.tif,mid,na,tx
hg,0,/Users/mperry/data/worldclim/past/hgmidbi1.tif,mid,na,bi1
hg,0,/Users/mperry/data/worldclim/past/hgmidbi10.tif,mid,na,bi10
hg,0,/Users/mperry/data/worldclim/past/hgmidbi11.tif,mid,na,bi11
hg,0,/Users/mperry/data/worldclim/past/hgmidbi12.tif,mid,na,bi12
hg,0,/Users/mperry/data/worldclim/past/hgmidbi13.tif,mid,na,bi13
hg,0,/Users/mperry/data/worldclim/past/hgmidbi14.tif,mid,na,bi14
hg,0,/Users/mperry/data/worldclim/past/hgmidbi15.tif,mid,na,bi15
hg,0,/Users/mperry/data/worldclim/past/hgmidbi16.tif,mid,na,bi16
